filename,formula,BB,BCo,BFe,BMo,BNi,BO,CoCo,CoFe,CoMo,CoNi,CoO,FeFe,FeMo,FeNi,FeO,MoMo,MoNi,MoO,NiNi,NiO,OO
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-78,B12Co12Fe12Mo12Ni12O60,11,34,29,37,24,166,10,28,30,26,174,18,34,34,151,14,35,148,26,141,390
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-79,B12Co12Fe12Mo12Ni12O60,12,35,27,42,37,147,11,32,23,34,166,16,35,29,157,15,33,149,11,157,392
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-80,B12Co12Fe12Mo12Ni12O60,17,34,28,28,29,159,17,31,30,32,151,19,39,23,153,14,29,158,15,169,385
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-81,B12Co12Fe12Mo12Ni12O60,15,31,32,33,34,152,13,34,31,26,164,11,40,35,149,11,34,152,14,155,394
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-82,B12Co12Fe12Mo12Ni12O60,15,27,37,39,23,156,14,27,27,37,166,19,23,38,149,18,29,158,18,149,391
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-83,B12Co12Fe12Mo12Ni12O60,16,27,41,23,38,151,13,30,36,27,166,18,23,34,148,17,31,165,13,156,387
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-84,B12Co12Fe12Mo12Ni12O60,16,32,40,24,29,155,16,22,33,32,161,16,26,34,158,17,32,163,17,151,386
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-85,B12Co12Fe12Mo12Ni12O60,15,31,27,26,32,166,13,34,27,27,167,17,32,36,149,12,32,171,14,157,375
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-86,B12Co12Fe12Mo12Ni12O60,15,34,31,30,27,160,16,34,25,28,159,8,33,30,168,11,38,164,16,157,376
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-87,B12Co12Fe12Mo12Ni12O60,12,29,34,31,36,158,21,25,30,25,161,16,32,34,155,15,33,156,10,164,383
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-88,B12Co12Fe12Mo12Ni12O60,19,26,20,32,32,164,12,38,32,34,158,17,34,31,155,14,30,156,11,163,382
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-89,B12Co12Fe12Mo12Ni12O60,13,33,32,28,34,159,12,35,23,29,168,11,35,30,158,16,31,163,14,160,376
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-90,B12Co12Fe12Mo12Ni12O60,13,29,39,32,35,151,12,34,33,34,158,13,35,31,147,15,33,149,10,159,398
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-91,B12Co12Fe12Mo12Ni12O60,18,30,32,27,32,155,16,35,33,31,151,16,24,32,157,14,37,163,16,148,393
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-92,B12Co12Fe12Mo12Ni12O60,11,25,22,38,40,165,11,35,29,31,170,19,34,29,154,10,35,156,14,149,383
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-93,B12Co12Fe12Mo12Ni12O60,17,28,34,32,32,152,12,31,36,36,157,15,27,30,160,15,31,156,17,149,393
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-94,B12Co12Fe12Mo12Ni12O60,23,31,29,32,26,148,12,31,30,38,158,17,30,31,157,13,32,162,10,165,385
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-95,B12Co12Fe12Mo12Ni12O60,15,29,24,32,28,169,16,34,32,31,154,20,31,23,160,15,37,150,15,163,382
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-96,B12Co12Fe12Mo12Ni12O60,11,27,35,37,30,161,18,31,41,26,151,9,32,37,159,15,30,142,20,149,399
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-97,B12Co12Fe12Mo12Ni12O60,13,31,32,29,27,167,11,36,34,34,155,19,27,32,147,18,35,151,13,158,391
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-98,B12Co12Fe12Mo12Ni12O60,13,40,29,35,26,156,8,31,30,32,163,14,33,32,159,15,30,154,16,160,384
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-99,B12Co12Fe12Mo12Ni12O60,14,32,33,32,37,150,15,27,27,34,162,16,33,29,158,16,37,151,10,155,392
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-100,B12Co12Fe12Mo12Ni12O60,16,30,29,39,25,157,16,28,35,35,152,17,24,31,166,14,29,157,10,172,378
